candidate,family,split,cost_bps,TotalReturn,TotalCAGR,TotalSharpe,MaxDD,Calmar,ExcessReturn,ExcessCAGR,ExcessSharpe,AnnTurnover,Trades,TimeInMarket,NPeriods
price_trend_ma200,control,development,30.0,31.938718508609107,1.0108288465852526,1.4372278184893001,-0.6824900986019633,1.4810893940525582,30.2646322748503,0.9899717597954167,1.4203630905555853,2.7984665936473165,14,0.6144578313253012,1826
price_trend_ma200,control,validation,30.0,3.4880178936182187,0.45513091688884577,1.0458963655647269,-0.6315760256132468,0.7206272854434641,3.168507213113756,0.4285289660978333,1.0056598908575236,6.745379876796714,27,0.5722108145106092,1461
net_outflow_w7_q70_hold7_ma100,net_outflow,development,15.0,17.079631579540195,0.7836113056453318,1.7009232878711136,-0.4123934189144156,1.9001547301800064,16.161469144516108,0.7651258420620317,1.6737592000096155,19.98904709748083,100,0.3537787513691128,1826
net_outflow_w7_q70_hold7_ma100,net_outflow,validation,15.0,5.7204547219984665,0.6095633850050355,1.5736788124189252,-0.35036357460189516,1.7398023915518595,5.242014394381194,0.5801382968112243,1.5190332779188915,18.737166324435318,75,0.3319644079397673,1461
net_outflow_w7_q70_hold7_ma100,net_outflow,development,30.0,14.548697002610547,0.7306461278799461,1.6205504128271413,-0.4220324140550117,1.7312559498918174,13.759013290543267,0.7127083657782438,1.5934224719843941,19.98904709748083,100,0.3537787513691128,1826
net_outflow_w7_q70_hold7_ma100,net_outflow,validation,30.0,5.008032971037522,0.565127864960445,1.4916884760679603,-0.36569039951820936,1.5453724399245672,4.580280974179127,0.5365130462912959,1.437008177984432,18.737166324435318,75,0.3319644079397673,1461
net_outflow_w7_q70_hold7_ma200,net_outflow,development,15.0,36.906238502474814,1.068088994655854,2.065236411707108,-0.37826064055179953,2.8236852586558987,34.98131909064822,1.0466566010801008,2.0383819396746263,14.791894852135815,74,0.38061336254107336,1826
net_outflow_w7_q70_hold7_ma200,net_outflow,validation,15.0,5.356016778791516,0.5872992871110905,1.5341315376553772,-0.3308794968158717,1.7749642778195822,4.903508992080478,0.5582804002278503,1.4794088762875588,16.738535249828885,67,0.32375085557837097,1461
net_outflow_w7_q70_hold7_ma200,net_outflow,development,30.0,32.90795315780024,1.0225194298534102,2.006442859226533,-0.3801151341141201,2.6900255687962797,31.185988090311284,1.0015582608992446,1.979612404741749,14.791894852135815,74,0.38061336254107336,1826
net_outflow_w7_q70_hold7_ma200,net_outflow,validation,30.0,4.748748163198633,0.5479728741189209,1.4597757358063876,-0.3447940659483849,1.5892758264608635,4.3394446857948115,0.5196708638403793,1.4050566732040615,16.738535249828885,67,0.32375085557837097,1461
net_outflow_w7_q70_hold30_ma100,net_outflow,development,15.0,42.20447674679233,1.1228857023416472,1.616957461784426,-0.4553998858727155,2.465713622632515,40.01068584487499,1.1008872597672026,1.5984280425201234,10.394304490690033,52,0.5454545454545454,1826
net_outflow_w7_q70_hold30_ma100,net_outflow,validation,15.0,7.206727785861201,0.6919443646328729,1.3972127016197218,-0.37823887838145775,1.8293845614015383,6.622401746742305,0.6610091276357244,1.3559062669610105,13.240930869267624,53,0.5516769336071184,1461
net_outflow_w7_q70_hold30_ma100,net_outflow,development,30.0,38.957452251189686,1.0899896546802004,1.5889604755685762,-0.4635463591829061,2.351414552368671,36.9284682390161,1.0683313670062722,1.570434623578679,10.394304490690033,52,0.5454545454545454,1826
net_outflow_w7_q70_hold30_ma100,net_outflow,validation,30.0,6.579522375571571,0.6586698075037283,1.3527157510778165,-0.3884838717202148,1.695488166824338,6.039822190543174,0.6283411248519961,1.3114151843724908,13.240930869267624,53,0.5516769336071184,1461
net_outflow_w7_q70_hold30_ma200,net_outflow,development,15.0,72.7231472882694,1.362197560238398,1.7852224486381576,-0.35756163398059415,3.809686025521206,68.97906358352397,1.3377149153534083,1.7669985773756811,3.5980284775465496,18,0.5815991237677984,1826
net_outflow_w7_q70_hold30_ma200,net_outflow,validation,15.0,4.2695773268976795,0.5146784212161468,1.1470861913807704,-0.6276791501752309,0.8199705551354743,3.8945077009681492,0.4869940611617245,1.1060473971126794,9.743326488706366,39,0.5475701574264202,1461
