offset,ExcessCAGR,ExcessSharpe,MaxDD
280,-0.03678873127339122,-0.13456541130826447,-0.1694867048343638
281,-0.08753732745479126,-0.3993814577650232,-0.16309299651435905
282,-0.09404438856252173,-0.4112916479053166,-0.1738438120821787
283,-0.13180501512736975,-0.6350400273144615,-0.20485308094775068
284,-0.16763965213895726,-0.8458712275632999,-0.23662235868276948
285,-0.15512786111361,-0.7883252293770143,-0.20129093525177355
286,-0.15945480921101163,-0.8271232278639389,-0.21158166257810473
287,-0.09578772531812219,-0.4887319473700935,-0.1906889713996508
288,-0.08438566366690148,-0.41560805380502036,-0.19345080462905861
289,-0.137716115701093,-0.7763000508308145,-0.2071141694550379
290,-0.023934847240773993,-0.037506478505171144,-0.18800065049512982
291,-0.02672964109809628,-0.05145806761652717,-0.18622377383290278
292,0.1350441404631042,0.8384364685959496,-0.11376798111515929
293,0.10432113298560308,0.6768220074957232,-0.14101672737805382
294,0.1523406982056621,0.9508802642836022,-0.13584195954302836
295,0.19904765830911741,1.2252742485202877,-0.093265106925155
296,0.26355425844683644,1.5451518072623893,-0.06223987856827584
297,0.22065361579165632,1.2440858716854544,-0.06844038978836942
298,0.18300064147048944,1.058144649856868,-0.07787546057692207
299,0.1910289400477101,1.077114396998451,-0.09524177404212386
300,0.1949056713727022,1.112324687288578,-0.10418483346869145
301,0.0969653770142409,0.5982477503088832,-0.11011611383477649
302,0.08766535880650417,0.5466957129952681,-0.13160206554458675
303,0.1197046949552365,0.6861252955888459,-0.11077798427352514
304,0.1604478250426271,0.8557891515821162,-0.09522576563073415
305,0.16170468027207408,0.8384363247657404,-0.09626286169529452
306,0.0019258656617535674,0.1176453555363692,-0.1617013547253937
307,0.019238434232836443,0.1966610791901443,-0.1818122571895765
308,-0.008686618855594519,0.07216398777676454,-0.1660031009659979
309,-0.07982109886247868,-0.2540765127189385,-0.20774480894808645
310,-0.07085898473047658,-0.20972680859807363,-0.22424634961480638
311,-0.039799431494249915,-0.06373787392924457,-0.20932250526310392
312,-0.03471174331951543,-0.04929288399634073,-0.1895801619452071
313,0.045070091987851946,0.3077165703812755,-0.1833859273503894
314,0.09075196032897481,0.49842230214476907,-0.15914732539920262
315,0.027175541398254177,0.2313095193539815,-0.16581003549860562
316,0.01882689099140067,0.19554338734331053,-0.16581003549860562
317,-0.008154412549633339,0.08217129125385886,-0.15705589485092986
318,-0.03336731311898944,-0.026035006032743637,-0.1563288119631896
319,-0.04581029536825232,-0.08339865412897544,-0.16589383735657648
320,-0.08606416473435752,-0.2765771960861117,-0.18332339977543366
321,-0.10393929128191315,-0.3601273455611775,-0.20886074108276453
322,-0.12827605468421477,-0.48249789858736214,-0.24623226325197856
323,-0.11842113033106094,-0.44723325255584595,-0.24904019355048124
324,-0.07146635084777653,-0.2108895714061616,-0.20090812394709012
325,-0.07484768135312048,-0.23046497600456184,-0.2301734110856688
326,-0.1107151065963492,-0.40354483275336056,-0.21941545398965434
327,0.011731122938897887,0.16081062041701039,-0.1280577589650025
328,-0.03762918572267038,-0.07254755624115906,-0.14735533193244077
329,-0.012372670737912483,0.04715023228364866,-0.1316469921222141
330,-0.02792090110484191,-0.02547379255775375,-0.14983227952846045
331,-0.044934442748085335,-0.10898348060496758,-0.1582036277764608
332,0.06701312729396047,0.40641118111162455,-0.14983227952846023
